 time            v(Vin)          v(Vout)        
 2.61050000e-08  1.61100000e+00 -1.69445881e-03 
 2.61150000e-08  1.59300000e+00 -1.72005039e-03 
 2.61250000e-08  1.57500000e+00 -1.75337427e-03 
 2.61350000e-08  1.55700000e+00 -1.78257270e-03 
 2.61450000e-08  1.53900000e+00 -1.81827588e-03 
 2.61550000e-08  1.52100000e+00 -1.85050364e-03 
 2.61650000e-08  1.50300000e+00 -1.88785977e-03 
 2.61750000e-08  1.48500000e+00 -1.92178661e-03 
 2.61850000e-08  1.46700000e+00 -1.95898719e-03 
 2.61950000e-08  1.44900000e+00 -1.99185642e-03 
 2.62050000e-08  1.43100000e+00 -2.02512822e-03 
 2.62150000e-08  1.41300000e+00 -2.05154432e-03 
 2.62250000e-08  1.39500000e+00 -2.07353825e-03 
 2.62350000e-08  1.37700000e+00 -2.08334978e-03 
 2.62450000e-08  1.35900000e+00 -2.08045687e-03 
 2.62550000e-08  1.34100000e+00 -2.05549203e-03 
 2.62650000e-08  1.32300000e+00 -2.00410648e-03 
 2.62750000e-08  1.30500000e+00 -1.91421763e-03 
 2.62850000e-08  1.28700000e+00 -1.77698630e-03 
 2.62950000e-08  1.26900000e+00 -1.57702835e-03 
 2.63050000e-08  1.25100000e+00 -1.30105313e-03 
 2.63150000e-08  1.23300000e+00 -9.30570916e-04 
 2.63250000e-08  1.21500000e+00 -4.48432700e-04 
 2.63350000e-08  1.19700000e+00  1.56129618e-04 
 2.63450000e-08  1.17900000e+00  8.85598188e-04 
 2.63550000e-08  1.16100000e+00  1.82807492e-03 
 2.63650000e-08  1.14300000e+00  2.96674655e-03 
 2.63750000e-08  1.12500000e+00  4.34108972e-03 
 2.63850000e-08  1.10700000e+00  5.98709484e-03 
 2.63950000e-08  1.08900000e+00  7.94748133e-03 
 2.64050000e-08  1.07100000e+00  1.02781331e-02 
 2.64150000e-08  1.05300000e+00  1.30462330e-02 
 2.64250000e-08  1.03500000e+00  1.63419940e-02 
 2.64350000e-08  1.01700000e+00  2.02811726e-02 
 2.64450000e-08  9.99000000e-01  2.50236774e-02 
 2.64550000e-08  9.81000000e-01  3.07886881e-02 
 2.64650000e-08  9.63000000e-01  3.78949433e-02 
 2.64750000e-08  9.45000000e-01  4.68185367e-02 
 2.64850000e-08  9.27000000e-01  5.83224635e-02 
 2.64950000e-08  9.09000000e-01  7.37251608e-02 
 2.65050000e-08  8.91000000e-01  9.55739614e-02 
 2.65150000e-08  8.73000000e-01  1.29083954e-01 
 2.65250000e-08  8.55000000e-01  1.81924582e-01 
 2.65350000e-08  8.37000000e-01  2.57446375e-01 
 2.65450000e-08  8.19000000e-01  3.53254843e-01 
 2.65550000e-08  8.01000000e-01  4.66143292e-01 
 2.65650000e-08  7.83000000e-01  5.93243498e-01 
 2.65750000e-08  7.65000000e-01  7.31885112e-01 
 2.65850000e-08  7.47000000e-01  8.79528255e-01 
 2.65950000e-08  7.29000000e-01  1.03363293e+00 
 2.66050000e-08  7.11000000e-01  1.19128553e+00 
 2.66150000e-08  6.93000000e-01  1.34830736e+00 
 2.66250000e-08  6.75000000e-01  1.49358383e+00 
 2.66350000e-08  6.57000000e-01  1.60272367e+00 
 2.66450000e-08  6.39000000e-01  1.67230862e+00 
 2.66550000e-08  6.21000000e-01  1.71681471e+00 
 2.66650000e-08  6.03000000e-01  1.74475717e+00 
 2.66750000e-08  5.85000000e-01  1.76202161e+00 
 2.66850000e-08  5.67000000e-01  1.77240554e+00 
 2.66950000e-08  5.49000000e-01  1.77869746e+00 
 2.67050000e-08  5.31000000e-01  1.78246479e+00 
 2.67150000e-08  5.13000000e-01  1.78484046e+00 
 2.67250000e-08  4.95000000e-01  1.78633727e+00 
 2.67350000e-08  4.77000000e-01  1.78738574e+00 
 2.67450000e-08  4.59000000e-01  1.78811349e+00 
 2.67550000e-08  4.41000000e-01  1.78869560e+00 
 2.67650000e-08  4.23000000e-01  1.78914172e+00 
 2.67750000e-08  4.05000000e-01  1.78953648e+00 
 2.67850000e-08  3.87000000e-01  1.78986015e+00 
 2.67950000e-08  3.69000000e-01  1.79016218e+00 
 2.68050000e-08  3.51000000e-01  1.79041954e+00 
 2.68150000e-08  3.33000000e-01  1.79066508e+00 
 2.68250000e-08  3.15000000e-01  1.79087910e+00 
 2.68350000e-08  2.97000000e-01  1.79108481e+00 
 2.68450000e-08  2.79000000e-01  1.79126195e+00 
 2.68550000e-08  2.61000000e-01  1.79143248e+00 
 2.68650000e-08  2.43000000e-01  1.79158949e+00 
 2.68750000e-08  2.25000000e-01  1.79174138e+00 
 2.68850000e-08  2.07000000e-01  1.79187950e+00 
 2.68950000e-08  1.89000000e-01  1.79201159e+00 
 2.69050000e-08  1.71000000e-01  1.79213253e+00 
 2.69150000e-08  1.53000000e-01  1.79224768e+00 
 2.69250000e-08  1.35000000e-01  1.79235403e+00 
 2.69350000e-08  1.17000000e-01  1.79245489e+00 
 2.69450000e-08  9.90000000e-02  1.79254933e+00 
 2.69550000e-08  8.10000000e-02  1.79263815e+00 
 2.69650000e-08  6.30000000e-02  1.79272109e+00 
 2.69750000e-08  4.50000000e-02  1.79279905e+00 
 2.69850000e-08  2.70000000e-02  1.79287275e+00 
 2.69950000e-08  9.00000000e-03  1.79294174e+00 
 2.70000000e-08  0.00000000e+00  1.79297526e+00 
 2.70010000e-08  0.00000000e+00  1.79373333e+00 
 2.70030000e-08  0.00000000e+00  1.79511604e+00 
 2.70070000e-08  0.00000000e+00  1.79710374e+00 
 2.70150000e-08  0.00000000e+00  1.79905018e+00 
 2.70250000e-08  0.00000000e+00  1.79979171e+00 
 2.70350000e-08  0.00000000e+00  1.79995056e+00 
 2.70450000e-08  0.00000000e+00  1.79999146e+00 
 2.70550000e-08  0.00000000e+00  1.79999593e+00 
 2.70650000e-08  0.00000000e+00  1.80000120e+00 
 2.70750000e-08  0.00000000e+00  1.79999851e+00 
 2.70850000e-08  0.00000000e+00  1.80000095e+00 
 2.70950000e-08  0.00000000e+00  1.79999915e+00 
 2.71050000e-08  0.00000000e+00  1.80000055e+00 
 2.71150000e-08  0.00000000e+00  1.79999951e+00 
 2.71250000e-08  0.00000000e+00  1.80000030e+00 
 2.71350000e-08  0.00000000e+00  1.79999961e+00 
 2.71450000e-08  0.00000000e+00  1.79999990e+00 
 2.71550000e-08  0.00000000e+00  1.79999967e+00 
 2.71650000e-08  0.00000000e+00  1.79999985e+00 
 2.71750000e-08  0.00000000e+00  1.79999982e+00 
 2.71850000e-08  0.00000000e+00  1.79999986e+00 
 2.71950000e-08  0.00000000e+00  1.79999992e+00 
 2.72050000e-08  0.00000000e+00  1.79999987e+00 
 2.72150000e-08  0.00000000e+00  1.79999998e+00 
 2.72250000e-08  0.00000000e+00  1.79999987e+00 
 2.72350000e-08  0.00000000e+00  1.80000002e+00 
 2.72450000e-08  0.00000000e+00  1.79999988e+00 
 2.72550000e-08  0.00000000e+00  1.80000005e+00 
 2.72650000e-08  0.00000000e+00  1.79999988e+00 
 2.72750000e-08  0.00000000e+00  1.80000006e+00 
 2.72850000e-08  0.00000000e+00  1.79999988e+00 
 2.72950000e-08  0.00000000e+00  1.80000007e+00 
 2.73050000e-08  0.00000000e+00  1.79999988e+00 
 2.73150000e-08  0.00000000e+00  1.80000008e+00 
 2.73250000e-08  0.00000000e+00  1.79999988e+00 
 2.73350000e-08  0.00000000e+00  1.80000008e+00 
 2.73450000e-08  0.00000000e+00  1.79999988e+00 
 2.73550000e-08  0.00000000e+00  1.80000009e+00 
 2.73650000e-08  0.00000000e+00  1.79999989e+00 
 2.73750000e-08  0.00000000e+00  1.80000009e+00 
 2.73850000e-08  0.00000000e+00  1.79999989e+00 
 2.73950000e-08  0.00000000e+00  1.80000009e+00 
 2.74050000e-08  0.00000000e+00  1.79999989e+00 
 2.74150000e-08  0.00000000e+00  1.80000009e+00 
 2.74250000e-08  0.00000000e+00  1.79999989e+00 
 2.74350000e-08  0.00000000e+00  1.80000009e+00 
 2.74450000e-08  0.00000000e+00  1.79999989e+00 
 2.74550000e-08  0.00000000e+00  1.80000009e+00 
 2.74650000e-08  0.00000000e+00  1.79999989e+00 
 2.74750000e-08  0.00000000e+00  1.80000009e+00 
 2.74850000e-08  0.00000000e+00  1.79999989e+00 
 2.74950000e-08  0.00000000e+00  1.80000009e+00 
 2.75050000e-08  0.00000000e+00  1.79999989e+00 
 2.75150000e-08  0.00000000e+00  1.80000009e+00 
 2.75250000e-08  0.00000000e+00  1.79999989e+00 
 2.75350000e-08  0.00000000e+00  1.80000009e+00 
 2.75450000e-08  0.00000000e+00  1.79999989e+00 
 2.75550000e-08  0.00000000e+00  1.80000009e+00 
 2.75650000e-08  0.00000000e+00  1.79999989e+00 
 2.75750000e-08  0.00000000e+00  1.80000009e+00 
 2.75850000e-08  0.00000000e+00  1.79999989e+00 
 2.75950000e-08  0.00000000e+00  1.80000009e+00 
 2.76050000e-08  0.00000000e+00  1.79999989e+00 
 2.76150000e-08  0.00000000e+00  1.80000009e+00 
 2.76250000e-08  0.00000000e+00  1.79999989e+00 
 2.76350000e-08  0.00000000e+00  1.80000008e+00 
 2.76450000e-08  0.00000000e+00  1.79999989e+00 
 2.76550000e-08  0.00000000e+00  1.80000008e+00 
 2.76650000e-08  0.00000000e+00  1.79999989e+00 
 2.76750000e-08  0.00000000e+00  1.80000008e+00 
 2.76850000e-08  0.00000000e+00  1.79999990e+00 
 2.76950000e-08  0.00000000e+00  1.80000008e+00 
 2.77050000e-08  0.00000000e+00  1.79999990e+00 
 2.77150000e-08  0.00000000e+00  1.80000008e+00 
 2.77250000e-08  0.00000000e+00  1.79999990e+00 
 2.77350000e-08  0.00000000e+00  1.80000008e+00 
 2.77450000e-08  0.00000000e+00  1.79999990e+00 
 2.77550000e-08  0.00000000e+00  1.80000008e+00 
 2.77650000e-08  0.00000000e+00  1.79999990e+00 
 2.77750000e-08  0.00000000e+00  1.80000008e+00 
 2.77850000e-08  0.00000000e+00  1.79999990e+00 
 2.77950000e-08  0.00000000e+00  1.80000008e+00 
 2.78050000e-08  0.00000000e+00  1.79999990e+00 
 2.78150000e-08  0.00000000e+00  1.80000008e+00 
 2.78250000e-08  0.00000000e+00  1.79999990e+00 
 2.78350000e-08  0.00000000e+00  1.80000008e+00 
 2.78450000e-08  0.00000000e+00  1.79999990e+00 
 2.78550000e-08  0.00000000e+00  1.80000008e+00 
 2.78650000e-08  0.00000000e+00  1.79999990e+00 
 2.78750000e-08  0.00000000e+00  1.80000008e+00 
 2.78850000e-08  0.00000000e+00  1.79999990e+00 
 2.78950000e-08  0.00000000e+00  1.80000007e+00 
 2.79050000e-08  0.00000000e+00  1.79999990e+00 
 2.79150000e-08  0.00000000e+00  1.80000007e+00 
 2.79250000e-08  0.00000000e+00  1.79999990e+00 
 2.79350000e-08  0.00000000e+00  1.80000007e+00 
 2.79450000e-08  0.00000000e+00  1.79999991e+00 
 2.79550000e-08  0.00000000e+00  1.80000007e+00 
 2.79650000e-08  0.00000000e+00  1.79999991e+00 
 2.79750000e-08  0.00000000e+00  1.80000007e+00 
 2.79850000e-08  0.00000000e+00  1.79999991e+00 
 2.79950000e-08  0.00000000e+00  1.80000007e+00 
 2.80050000e-08  0.00000000e+00  1.79999991e+00 
 2.80150000e-08  0.00000000e+00  1.80000007e+00 
 2.80250000e-08  0.00000000e+00  1.79999991e+00 
 2.80350000e-08  0.00000000e+00  1.80000007e+00 
 2.80450000e-08  0.00000000e+00  1.79999991e+00 
 2.80550000e-08  0.00000000e+00  1.80000007e+00 
 2.80650000e-08  0.00000000e+00  1.79999991e+00 
 2.80750000e-08  0.00000000e+00  1.80000007e+00 
 2.80850000e-08  0.00000000e+00  1.79999991e+00 
 2.80950000e-08  0.00000000e+00  1.80000007e+00 
 2.81050000e-08  0.00000000e+00  1.79999991e+00 
